# timestamp,line
1619802316420,OUT,mavg/room1/rhum,29
1619802316916,IN,siggen/room1/temp,30
1619802316960,OUT,mavg/room1/temp,30
1619802316961,IN,siggen/room2/rhum,30
1619802316963,OUT,mavg/room2/rhum,30
1619802316964,IN,siggen/room2/temp,30
1619802316966,OUT,mavg/room2/temp,30
1619802316967,IN,siggen/room1/rhum,30
1619802316968,OUT,mavg/room1/rhum,30
1619802317418,IN,siggen/room1/temp,31
1619802317419,OUT,mavg/room1/temp,31
1619802317420,IN,siggen/room2/rhum,31
1619802317421,OUT,mavg/room2/rhum,31
1619802317422,IN,siggen/room2/temp,31
1619802317465,OUT,mavg/room2/temp,31
1619802317465,IN,siggen/room1/rhum,31
1619802317468,OUT,mavg/room1/rhum,31
1619802317920,IN,siggen/room1/temp,32
1619802317965,OUT,mavg/room1/temp,32
1619802317965,IN,siggen/room2/temp,32
1619802317967,OUT,mavg/room2/temp,32
1619802317967,IN,siggen/room2/rhum,32
1619802317969,OUT,mavg/room2/rhum,32
1619802317970,IN,siggen/room1/rhum,32
1619802318012,OUT,mavg/room1/rhum,32
1619802318421,IN,siggen/room1/temp,33
1619802318422,OUT,mavg/room1/temp,33
1619802318423,IN,siggen/room2/rhum,33
1619802318424,OUT,mavg/room2/rhum,33
1619802318424,IN,siggen/room2/temp,33
1619802318425,OUT,mavg/room2/temp,33
1619802318425,IN,siggen/room1/rhum,33
1619802318426,OUT,mavg/room1/rhum,33
1619802318924,IN,siggen/room1/temp,34
1619802318969,OUT,mavg/room1/temp,34
1619802318969,IN,siggen/room1/rhum,34
1619802318971,OUT,mavg/room1/rhum,34
1619802318971,IN,siggen/room2/temp,34
1619802318973,OUT,mavg/room2/temp,34
1619802318973,IN,siggen/room2/rhum,34
1619802319016,OUT,mavg/room2/rhum,34
1619802319426,IN,siggen/room1/temp,35
1619802319427,OUT,mavg/room1/temp,35
1619802319427,IN,siggen/room1/rhum,35
1619802319428,OUT,mavg/room1/rhum,35
1619802319429,IN,siggen/room2/temp,35
1619802319430,OUT,mavg/room2/temp,35
1619802319430,IN,siggen/room2/rhum,35
1619802319431,OUT,mavg/room2/rhum,35
1619802319926,IN,siggen/room2/rhum,36
1619802319968,OUT,mavg/room2/rhum,36
1619802319968,IN,siggen/room1/temp,36
1619802319970,OUT,mavg/room1/temp,36
1619802319970,IN,siggen/room2/temp,36
1619802319972,OUT,mavg/room2/temp,36
1619802319972,IN,siggen/room1/rhum,36
1619802319974,OUT,mavg/room1/rhum,36
1619802320427,IN,siggen/room2/rhum,37
1619802320468,OUT,mavg/room2/rhum,37
1619802320468,IN,siggen/room1/temp,37
1619802320469,OUT,mavg/room1/temp,37
1619802320469,IN,siggen/room2/temp,37
1619802320470,OUT,mavg/room2/temp,37
1619802320470,IN,siggen/room1/rhum,37
1619802320470,OUT,mavg/room1/rhum,37
1619802320928,IN,siggen/room1/temp,38
1619802320928,OUT,mavg/room1/temp,38
1619802320928,IN,siggen/room2/rhum,38
1619802320929,OUT,mavg/room2/rhum,38
1619802320929,IN,siggen/room1/rhum,38
1619802320929,OUT,mavg/room1/rhum,38
1619802320929,IN,siggen/room2/temp,38
1619802320930,OUT,mavg/room2/temp,38
1619802321429,IN,siggen/room1/temp,39
1619802321472,OUT,mavg/room1/temp,39
1619802321472,IN,siggen/room2/rhum,39
1619802321473,OUT,mavg/room2/rhum,39
1619802321474,IN,siggen/room1/rhum,39
1619802321475,OUT,mavg/room1/rhum,39
1619802321475,IN,siggen/room2/temp,39
1619802321476,OUT,mavg/room2/temp,39
1619802321932,IN,siggen/room1/temp,40
1619802321933,OUT,mavg/room1/temp,40
1619802321934,IN,siggen/room2/rhum,40
1619802321935,OUT,mavg/room2/rhum,40
1619802321935,IN,siggen/room1/rhum,40
1619802321936,OUT,mavg/room1/rhum,40
